Site    ,Name                                     ,Lat       ,Lon      ,Start    ,End      , Years ,  %  ,AWS
52025,THE WILGAS                               ,-29.7,148.5,1/12/1902,1/7/1954,49.9,97,  N
75063,THELANGERIN EAST                         ,-34.2,144.5,NA,1/1/1970,92.5,99,  N
70332,THEODORE (CONLON ST)                     ,-35.45,149.1167,1/1/1989,1/2/2001,11.6,95,  N
58134,THERESA CREEK (ROSEVIEW)                 ,-28.7667,152.7667,1/5/1968,1/2/1976,7.8,100,  N
63082,THOMPSONS CREEK                          ,-33.95,149.55,1/6/1949,1/9/1960,11.3,100,  N
46036,THOMPSONS SIDING                         ,-31.6,141.5,1/1/1933,1/6/1946,8.5,63,  N
59033,THORA POST OFFICE                        ,-30.4252,152.7789,1/5/1947,1/10/2017,64.3,91,  N
51111,THORNDALE                                ,-31.5333,146.9167,NA,1/12/1916,34.3,94,  N
67071,THORNLEIGH BRIDGEVIEW CRESCENT           ,-33.7167,151.0833,1/3/1968,1/1/1972,3.9,100,  N
71032,THREDBO AWS                              ,-36.4917,148.2859,1/12/1966,1/3/2022,45.7,82,  Y
71041,THREDBO VILLAGE                          ,-36.5031,148.3038,1/11/1969,1/3/2022,49.4,94,  N
74067,THRYA (WILLOW VIEW)                      ,-35.8167,144.7167,1/1/1938,1/6/1967,28.9,98,  N
59120,THUMB CREEK (FIGTREE)                    ,-30.6801,152.6079,1/1/1961,1/7/2021,51.7,85,  N
59057,THUMB CREEK (UPPER TAYLORS ARM)          ,-30.6167,152.5667,1/1/1961,1/1/1979,18.1,100,  N
72095,THURGOONA                                ,-36.05,146.9833,NA,1/10/1913,26.7,99,  N
74163,THYRA PUBLIC SCHOOL                      ,-35.8,144.7,1/6/1912,1/7/1933,19,90,  N
57045,TIA (HIGHRENT)                           ,-31.1893,151.8551,1/1/1961,1/12/2021,60.8,100,  N
57037,TIA (RAMBRAH)                            ,-31.1117,151.8014,1/1/1953,1/9/2011,58.2,99,  N
46124,TIBOOBURRA  (BRINDIWILPA)                ,-29.8718,142.434,1/10/1992,1/2/2022,29.4,100,  N
46000,TIBOOBURRA (BINERAH DOWNS)               ,-29.0333,141.55,1/4/1939,1/10/1952,12.8,94,  N
46006,TIBOOBURRA (FORT GREY)                   ,-29.0885,141.2033,NA,1/3/2022,81.8,67,  N
46005,TIBOOBURRA (FORTVILLE)                   ,-29,141.1667,1/4/1936,1/10/1945,9.6,100,  N
46014,TIBOOBURRA (LAKE STEWART)                ,-29.2833,141.25,1/12/1935,1/5/1950,14.5,100,  N
46132,TIBOOBURRA (NARRIEARRA)                  ,-29.3335,142.5194,1/6/2007,1/1/2021,13.3,97,  N
46028,TIBOOBURRA (OLIVE DOWNS)                 ,-29.05,141.86,NA,1/5/1995,85.3,86,  N
46029,TIBOOBURRA (ONEPAH)                      ,-29.0162,142.1559,NA,1/12/2004,110.6,97,  N
46045,TIBOOBURRA (PINDERA DOWNS)               ,-29.4378,142.4629,1/10/1999,1/11/2021,14.6,66,  N
46035,TIBOOBURRA (TEURIKA)                     ,-29.25,142.55,1/6/1936,1/1/1953,16.4,98,  N
46101,TIBOOBURRA (WHYJONTA)                    ,-29.6833,142.4667,1/1/1970,1/9/1970,0.3,44,  N
46126,TIBOOBURRA AIRPORT                       ,-29.4448,142.0567,1/9/1997,1/3/2022,24.6,100,  Y
46037,TIBOOBURRA POST OFFICE                   ,-29.4362,142.0097,NA,1/4/2016,127.9,98,  N
